GameTitle,Profit,GenreRank
"Kingdom Hearts 358/2 Days",0.53,145
"Fire Emblem: Awakening",0.53,145
"Dragon Warrior",0.52,147
"Fire Emblem Fates",0.52,147
"Final Fantasy",0.52,147
"Shin Super Robot Taisen",0.52,147
"Tales of Destiny",0.52,147
"Final Fantasy",0.51,152
"Dragon Quest Swords: The Masked Queen and the Tower of Mirrors",0.5,153
"Monster Hunter Freedom 2",0.5,153
"Chrono Trigger",0.49,155
"Bravely Default: Flying Fairy",0.49,155
"Inazuma Eleven GO",0.48,157
"Magician's Quest: Mysterious Times",0.48,157
"Mario & Luigi: Superstar Saga",0.47,159
"Pokemon Mystery Dungeon: Gates to Infinity",0.47,159
"Romancing SaGa",0.47,159
"Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III",0.47,159
"Paper Mario: The Thousand-Year Door",0.46,163
"Mario & Luigi: Dream Team",0.46,163
"Breath of Fire III",0.46,163
"Wild ARMs",0.46,163
"PoPoLoCrois Monogatari",0.46,163
"Inazuma Eleven Go 2: Chrono Stone",0.46,163
"Xenosaga Episode I: Der Wille zur Macht",0.45,169
"Lightning Returns: Final Fantasy XIII",0.45,169
"Tales of Graces f",0.45,169
"Tales of Xillia 2",0.45,169
"Yu-Gi-Oh! Forbidden Memories (JP sales)",0.45,169
"Mother 1+2",0.45,169
"Tales of Vesperia",0.45,169
"God Eater 2",0.45,169
"Pokemon Mystery Dungeon: Explorers of Sky",0.44,177
"Mario & Luigi: Partners in Time",0.43,178
"Final Fantasy Crystal Chronicles: Ring of Fates",0.42,179
"Tales of Zestiria",0.42,179
Persona,0.42,179
"Final Fantasy Collection",0.42,179
"Neon Genesis Evangelion 2nd Impression",0.42,179
Grandia,0.42,179
"Golden Sun",0.4,185
"Dark Souls II",0.4,185
"Dragon Quest X",0.4,185
"Medarot: Kabuto / Kuwagata Version",0.4,185
"Mystery Dungeon: Shiren the Wanderer",0.4,185
"Tales of Phantasia",0.4,185
"The Legend of Dragoon",0.39,191
"Rogue Galaxy",0.39,191
"Valkyrie Profile 2: Silmeria",0.39,191
"Arc the Lad III",0.39,191
"Mother 3",0.39,191
"Danball Senki",0.39,191
"Fire Emblem: Fuuin no Tsurugi",0.39,191
"From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!",0.39,191
"Persona 4: Golden",0.38,199
"Suikoden III",0.38,199
"Suikoden II",0.38,199
"Inazuma Eleven",0.38,199
"Shin Megami Tensei: Devil Summoner",0.38,199
"Final Fantasy Adventure",0.38,199
"Fantasy Life",0.37,205
"Pokemon Conquest",0.37,205
"Tear Ring Saga Yutona Eiyuu Senki",0.37,205
"God Eater 2: Rage Burst",0.37,205
"Phantasy Star Portable 2: Infinity",0.37,205
"Shin Megami Tensei II",0.37,205
"Final Fantasy: Crystal Chronicles",0.36,211
"White Knight Chronicles: International Edition",0.36,211
"Shin Megami Tensei: Persona 4",0.36,211
"Breath of Fire II",0.36,211
"Toriko: Gourmet Survival!",0.36,211
"Kingdom Hearts: Chain of Memories",0.35,216
"Demon's Souls",0.35,216
"Beyond The Beyond",0.35,216
"Tales of Legendia",0.35,216
"Fossil Fighters: Champions",0.34,220
"Shin Megami Tensei: Persona 3 Portable",0.34,220
"Breath of Fire IV",0.34,220
"Persona 5",0.34,220
"Dark Souls III",0.33,224
"Pokemon Super Mystery Dungeon",0.33,224
"Mystery Dungeon: Shiren the Wanderer",0.33,224
"Tales of the World: Radiant Mythology 2",0.33,224
"Final Fantasy X / X-2 HD Remaster",0.32,228
"Freedom Wars",0.32,228
"Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!",0.32,228
"From TV Animation One Piece: Tobidase Kaizokudan!",0.32,228
"Shin Momotarou Densetsu",0.32,228
"Live A Live",0.32,228
"Pokemon XD: Gale of Darkness",0.31,234
"Tales of Symphonia",0.31,234
"Wild ARMs 2",0.31,234
"Tactics Ogre: The Knight of Lodis",0.31,234
"MonHun Nikki: Poka Poka Ailu Mura G",0.31,234
"Shin Megami Tensei: Devil Summoner - Soul Hackers",0.31,234
"RPG Tsukuru 2",0.31,234
"Pokemon Battle Revolution",0.3,241
"Final Fantasy Tactics: The War of the Lions",0.3,241
"Vagrant Story",0.3,241
"Final Fantasy Tactics A2: Grimoire of the Rift",0.3,241
"Sword of Mana",0.3,241
"Suikoden IV",0.3,241
"Dragon Quest Monsters 1·2",0.3,241
"Blazing Heroes",0.3,241
"Fossil Fighters (JP sales)",0.3,241
"Daikaijyuu Monogatari",0.3,241
"Far East of Eden Zero",0.3,241
"Sword Art Online: Hollow Fragment",0.3,241
"Dragon Quest Builders: Revive Alefgard",0.3,241
"Final Fantasy I & II: Dawn of Souls",0.29,254
"Radiata Stories",0.29,254
"Wild ARMs 3",0.29,254
"RPG Maker",0.29,254
"Children of Mana",0.29,254
"Dawn of Mana",0.29,254
"Custom Robo",0.29,254
"Guardian Heroes",0.29,254
"SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan",0.29,254
"Final Fantasy X-2: International + Last Mission",0.29,254
"Dragon Quest: Shounen Yangus to Fushigi no Dungeon",0.29,254
"Final Fantasy X / X-2 HD Remaster",0.28,265
"Digimon World",0.28,265
"Final Fantasy XIV: A Realm Reborn",0.28,265
"Final Fantasy Explorers",0.28,265
"Monster Hunter",0.28,265
"Persona 2: Eternal Punishment",0.28,265
"Digimon Adventure: Anode Tamer",0.28,265
"Final Fantasy VI Advance",0.28,265
"Tales of the World: Radiant Mythology 3",0.28,265
"Golden Sun: The Lost Age",0.27,274
"Kingdom Hearts Re:coded",0.27,274
"Persona Q: Shadow of the Labyrinth",0.27,274
"Fire Emblem: Shadow Dragon",0.27,274
"White Knight Chronicles II",0.27,274
"Shin Megami Tensei IV",0.27,274
"Final Fantasy IV: The Complete Collection",0.27,274
"Tactics Ogre: Let Us Cling Together",0.27,274
"The 3rd Birthday",0.27,274
"Final Fantasy Crystal Chronicles: Echoes of Time",0.27,274
"Final Fantasy X International",0.27,274
"Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu",0.27,274
"Medarot 3: Kabuto / Kuwagata Version",0.27,274
".hack//Infection Part 1",0.26,287
"Dark Cloud 2",0.26,287
Drakengard,0.26,287
"Fullmetal Alchemist and the Broken Angel",0.26,287
"Yu-Gi-Oh! Monster Capsule Breed & Battle",0.26,287
"Yu-Gi-Oh! The Sacred Cards (JP weekly sales)",0.26,287
"Magical Vacation",0.26,287
"Tales of Innocence",0.26,287
"Final Fantasy V Advance",0.26,287
"Tengai Makyou: Daishi no Mokushiroku - The Apocalypse IV",0.26,287
"Doukyuusei if",0.26,287
"The Elder Scrolls V: Skyrim",0.25,298
"Kingdom Hearts",0.25,298
"Mario & Luigi: Paper Jam",0.25,298
"Ogre Battle 64: Person of Lordly Caliber",0.25,298
"Shin Megami Tensei: Nocturne",0.25,298
"Grandia Xtreme",0.25,298
"Tales of Eternia",0.25,298
"Inazuma Eleven Strikers",0.25,298
"Final Fantasy II",0.25,298
"Monster Hunter G",0.25,298
"Fallout 4",0.24,308
"Valkyria Chronicles",0.24,308
"Resonance of Fate",0.24,308
"Tales of Symphonia: Dawn of the New World",0.24,308
"Grandia III",0.24,308
"God Eater 2",0.24,308
"Freshly-Picked: Tingle's Rosy Rupeeland",0.24,308
"Tales of Hearts",0.24,308
"Summon Night 3",0.24,308
"Sakura Wars: Atsuki Chishio Ni",0.24,308
"Front Mission: Gun Hazard",0.24,308
"Final Fantasy: The 4 Heroes of Light",0.23,319
"Sword Art Online: Lost Song",0.23,319
"Tales of the World: Radiant Mythology",0.23,319
"Fossil Fighters: Frontier",0.23,319
"Marie no Atelier: Salburg no Renkinjutsushi",0.23,319
"Monster Hunter G",0.23,319
"Lunar: Silver Star Story",0.23,319
"Star Ocean",0.23,319
"Digimon World DS (JP sales)",0.23,319
"3rd Super Robot Wars Z Jigoku Hen",0.23,319
"Star Ocean: The Last Hope International",0.22,329
"Monster Hunter Tri",0.22,329
"Star Ocean: First Departure",0.22,329
"Final Fantasy IV Advance",0.22,329
"Soul Sacrifice",0.22,329
"Mega Man Battle Network",0.22,329
"Dragon Quest Builders: Revive Alefgard",0.22,329
"Sword Art Online: Infinity Moment",0.22,329
"Tales of Graces",0.22,329
"Tales of Berseria",0.22,329
"The Witcher 3: Wild Hunt",0.21,339
"Ni no Kuni: Wrath of the White Witch",0.21,339
"Blue Dragon",0.21,339
"The World Ends With You",0.21,339
"Star Ocean: The Last Hope",0.21,339
Suikoden,0.21,339
"Rune Factory 4",0.21,339
"Atelier Totori: The Adventurer of Arland",0.21,339
"Dragon Ball Z: Attack of the Saiyans",0.21,339
"Lunar: Silver Star Story Complete",0.21,339
"Tales of Phantasia: Narikiri Dungeon X",0.21,339
"Shin Megami Tensei: Persona 3 (jp sales)",0.21,339
".hack//Mutation Part 2",0.2,351
NieR,0.2,351
"Phantasy Star Ø",0.2,351
"Etrian Odyssey IV: Legends of the Titans",0.2,351
"Bastard!! Utsuro Naru Kamigami no Utsuwa",0.2,351
"PoPoLoCrois Monogatari II",0.2,351
"Phantasy Star Online",0.2,351
"Shining Blade",0.2,351
"7th Dragon 2020",0.2,351
"The Legend of Heroes VII: The Trail of Blue",0.2,351
"Shining Hearts",0.2,351
"Treasure Hunter G",0.2,351
"Grandia II",0.2,351
"Ore no Shikabane o Koete Yuke",0.2,351
"Aikatsu! Cinderella Lesson",0.2,351
"Tales of Vesperia",0.19,366
"Vandal Hearts",0.19,366
"Suikoden V",0.19,366
"Etrian Odyssey III: The Drowned City",0.19,366
"Drakengard 3",0.19,366
"3rd Super Robot Wars Z Jigoku Hen",0.19,366
"Tales of the World: Narikiri Dungeon 2",0.19,366
"Inazuma Eleven Strikers 2012 Xtreme",0.19,366
"Phantasy Star Universe",0.19,366
"Little Battlers eXperience W",0.19,366
"Phantasy Star Nova",0.19,366
"Phantasy Star Online Ver. 2",0.19,366
"Kingdom Hearts II",0.18,378
"The Last Remnant",0.18,378
"The Last Story",0.18,378
"Valkyria Chronicles II",0.18,378
"Bravely Second: End Layer",0.18,378
"Xenosaga Episode III: Also sprach Zarathustra",0.18,378
"Digimon World: Dawn / Dusk",0.18,378
"Atelier Meruru: Alchemist of Arland 3",0.18,378
"What Did I Do to Deserve This, My Lord!? 2",0.18,378
"Chocobo no Fushigi Dungeon for WonderSwan",0.18,378
"Super Robot Taisen UX",0.18,378
"Tales of the Tempest",0.18,378
"Summon Night 4",0.18,378
"Dragon's Crown",0.17,391
".hack//Outbreak Part 3",0.17,391
"Lord of Arcana",0.17,391
"Tales of Phantasia",0.17,391
